
Name                        Version                  Source      Updated             Info
mingw                       14.2.0-rt_v12-rev0       main        2024-09-06 09:20:51 
mobaxterm                   24.3                     extras      2024-11-01 09:31:11 
motrix                      1.8.19                   extras      2023-05-04 08:47:56 
mpg123                      1.32.9                   main        2024-11-04 09:45:35 
mupdf                       1.23.0                   extras      2023-08-24 09:38:38 
musikcube                   3.0.4                    extras      2024-07-15 14:01:25 
nali                        0.8.1                    main        2023-12-12 08:57:34 
neovim                      0.10.2                   main        2024-10-08 09:03:45 
ngspice                     43                       extras      2024-07-15 14:01:32 
openark                     1.3.6                    extras      2024-06-28 09:20:45 
openocd                     0.12.0                   main        2023-01-18 09:22:38 
openssh                     9.8.1.0p1                main        2024-11-25 09:41:42 
openssl                     3.4.0                    main        2024-10-29 08:37:54 
pandoc                      3.5                      main        2024-10-08 09:03:56 
pandoc-crossref             0.3.18.0a                main        2024-10-15 09:06:25 
peazip                      10.1.0                   extras      2024-11-25 09:41:57 
peco                        0.5.11                   main        2024-07-13 09:20:21 
photodemon                  2024.7                   extras      2024-07-13 09:56:08 
plantuml                    1.2024.8                 extras      2024-11-25 09:42:15 
plex-player                 2.58.0.1076-38e019da     extras      2021-06-01 15:57:30 
posh-git                    1.1.0                    extras      2022-06-17 11:32:21 
potplayer                   241015                   extras      2024-10-16 08:57:28 
processhacker               2.39                     extras      2021-06-30 14:55:11 
pspad                       5.0.7                    extras      2023-03-24 10:35:58 
psreadline                  2.3.6                    extras      2024-10-08 09:04:28 
psutils                     0.2023.06.28             main        2023-06-29 09:32:01 
pulseview                   0.4.2                    extras      2022-06-01 19:16:02 
putty                       0.82                     extras      2024-11-28 09:07:05 
pwsh                        7.4.6                    main        2024-10-26 08:58:12 
qtranslate                  6.10.0                   extras      2022-02-10 10:37:13 
qtscrcpy                    2.2.1                    dorado      2024-04-10 13:56:10 
racket                      8.15                     main        2024-11-06 09:22:37 
rawtherapee                 5.11                     extras      2024-11-07 09:35:58 
rclone                      1.68.2                   main        2024-11-25 09:32:42 
redasm                      2.1.1                    extras      2022-12-14 18:07:21 
rehex                       0.62.0                   extras      2024-07-29 08:56:36 
ripgrep                     14.1.1                   main        2024-09-10 08:48:58 
rufus                       4.6                      extras      2024-10-22 10:07:27 
rustup                      1.27.1                   main        2024-05-07 18:12:39 
scoop-search                1.5.0                    main        2024-07-09 08:52:37 
scrcpy                      3.0                      main        2024-11-25 09:42:23 
screentogif                 2.41.1                   extras      2024-09-11 09:10:04 
shellcheck                  0.10.0                   main        2024-08-16 17:42:49 
shotcut                     24.11.17                 extras      2024-11-25 09:44:49 
SourceCodePro-NF            3.3.0                    nerd-fonts  2024-11-25 09:45:10 
speedcrunch                 0.12                     extras      2021-05-21 17:20:18 
speedyfox                   2.0.30                   extras      2023-11-21 11:16:01 
ssd-z                       16.09.09                 extras      2021-11-24 14:41:42 
starship                    1.21.1                   main        2024-10-21 09:36:08 
sublime-merge               2102                     extras      2024-10-29 08:39:59 
sublime-text                4-4180                   extras      2024-08-09 09:00:13 
sudo                        0.2020.01.26             main        2021-05-17 15:05:56 
sweethome3d                 7.5                      extras      2024-08-23 10:04:51 
sysinternals                2024.7.23                extras      2024-07-24 09:05:07 
telegram                    5.8.3                    extras      2024-11-25 09:45:44 
tssh                        0.1.22                   main        2024-08-19 09:11:55 
typst                       0.12.0                   main        2024-10-21 09:36:22 
umlet                       15.1                     extras      2023-03-30 09:03:23 
unbound                     1.22.0                   main        2024-10-18 17:34:16 
unison                      2.53.7                   main        2024-11-06 09:24:16 
universal-ctags             2020-10-11               extras      2022-05-11 10:46:45 
usb-image-tool              1.90                     extras      2024-08-10 15:08:27 
uv                          0.5.5                    main        2024-11-28 09:07:23 
vagrant                     2.4.3                    main        2024-11-25 10:13:10 
vcredist2022                14.42.34433.0            extras      2024-11-25 10:22:34 
vcxsrv                      21.1.13.0                extras      2024-06-11 09:16:42 
ventoy                      1.0.99                   extras      2024-06-11 09:16:48 
vlc                         3.0.21                   extras      2024-08-26 18:31:50 
wezterm                     20240203-110809-5046fc22 extras      2024-02-04 09:24:39 
wget                        1.21.4                   main        2023-05-12 08:31:47 
which                       2.20                     main        2021-10-25 18:21:57 
whkd                        0.2.2                    extras      2024-10-16 09:02:37 
windows-terminal            1.21.3231.0              extras      2024-11-25 10:22:45 
windterm                    2.6.1                    extras      2024-04-07 09:53:47 
winfsp-np                   2.0.23075                nonportable 2023-03-20 18:19:09 
winmerge                    2.16.44                  extras      2024-10-29 08:43:20 
winscp                      6.3.6                    extras      2024-11-26 09:21:39 
wkhtmltopdf                 0.12.6-1                 main        2023-10-26 09:06:54 
x64dbg                      2024-12-01_15-19         extras      2024-12-02 16:30:59 
XnView                      2.52.0                   extras      2024-11-27 09:27:30 
xxcopy                      3.33.3                   main        2024-04-11 13:58:27 
yazi                        0.3.3                    main        2024-09-06 09:21:04 
zadig-np                    2.9                      nonportable 2024-09-04 17:52:45 
zeal                        0.7.2                    extras      2024-09-11 09:11:03 
zls                         0.13.0                   main        2024-08-13 14:32:02 
zotero                      7.0.10                   extras      2024-11-28 09:14:16 
zulip                       5.11.1                   extras      2024-08-24 09:17:15 

